date,location,away,home,winner,assist_percentage,assists,block_percentage,blocks,defensive_rating,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,losses,minutes_played,offensive_rating,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,win_percentage,wins
2018-12-21,"Cameron Hall, Lexington, Virginia",NORTH-ALABAMA,VIRGINIA-MILITARY-INSTITUTE,Home,18.5,5,8.1,3,112.7,71.8,28,0.439,66,0.409,27,0.227,15,0.667,10,10,200.0,86.1,23.7,9,18,68,6.3,5,0.242,16.0,0.25,4.0,48.1,37,0.465,17.1,15,50.0,0.46,23.0,0.231,3
2018-12-28,"McCarthey Athletic Center, Spokane, Washington",NORTH-ALABAMA,GONZAGA,Home,33.3,6,5.1,2,128.0,69.7,23,0.364,55,0.327,18,0.364,20,0.55,11,11,200.0,68.0,15.2,5,19,51,5.3,4,0.345,19.0,0.211,4.0,42.4,28,0.395,20.1,16,36.0,0.389,14.0,0.214,3
2018-12-30,"Lantz Arena, Charleston, Illinois",NORTH-ALABAMA,EASTERN-ILLINOIS,Home,50.0,11,2.6,1,115.7,80.0,24,0.482,56,0.393,22,0.429,24,0.667,16,12,200.0,100.0,25.0,10,25,70,5.7,4,0.536,30.0,0.333,10.0,48.6,34,0.519,17.4,14,26.0,0.462,12.0,0.2,3
2019-01-05,"UNF Arena , Jacksonville, Florida",NORTH-ALABAMA,NORTH-FLORIDA,Home,50.0,13,8.6,3,128.0,82.6,19,0.445,64,0.406,26,0.234,15,0.667,10,13,200.0,89.3,36.4,12,17,67,13.3,10,0.25,16.0,0.313,5.0,55.4,31,0.471,16.5,14,48.0,0.438,21.0,0.188,3
2019-01-08,"Flowers Hall, Florence, Alabama",FLORIDA-GULF-COAST,NORTH-ALABAMA,Home,59.1,13,20.8,5,82.4,81.5,22,0.51,51,0.431,22,0.235,12,0.75,9,13,200.0,89.7,29.0,9,25,61,8.8,6,0.49,25.0,0.32,8.0,53.4,31,0.538,24.2,18,26.0,0.538,14.0,0.235,4
2019-01-12,"Flowers Hall, Florence, Alabama",NJIT,NORTH-ALABAMA,Home,47.1,8,7.4,2,74.3,90.9,30,0.365,52,0.327,17,0.635,33,0.697,23,13,200.0,82.4,25.7,9,20,61,10.8,8,0.346,18.0,0.222,4.0,57.4,39,0.451,19.4,16,34.0,0.382,13.0,0.278,5
2019-01-16,"Swisher Gymnasium, Jacksonville, Florida",NORTH-ALABAMA,JACKSONVILLE,Away,26.5,9,4.1,2,118.9,70.4,19,0.635,63,0.54,34,0.254,16,0.688,11,13,200.0,123.0,16.7,5,14,91,9.5,7,0.397,25.0,0.48,12.0,42.1,24,0.644,11.4,9,38.0,0.579,22.0,0.316,6
2019-01-19,"Flowers Hall, Florence, Alabama",STETSON,NORTH-ALABAMA,Home,21.7,5,5.3,2,87.3,78.4,29,0.391,64,0.359,23,0.391,25,0.52,13,13,200.0,88.7,39.0,16,22,63,11.3,8,0.391,25.0,0.16,4.0,57.7,45,0.415,12.8,11,39.0,0.487,19.0,0.35,7
2019-01-21,"Vines Center, Lynchburg, Virginia",NORTH-ALABAMA,LIBERTY,Home,33.3,6,4.3,1,107.5,86.4,19,0.348,56,0.321,18,0.232,13,0.615,8,14,200.0,70.1,13.5,5,20,47,11.9,8,0.375,21.0,0.143,3.0,40.7,24,0.378,15.1,11,35.0,0.429,15.0,0.333,7
2019-01-24,"Flowers Hall, Florence, Alabama",KENNESAW-STATE,NORTH-ALABAMA,Home,66.7,16,13.6,6,98.6,58.1,25,0.458,60,0.4,24,0.483,29,0.724,21,14,200.0,105.6,19.4,7,17,76,11.1,8,0.3,18.0,0.389,7.0,40.5,32,0.515,8.8,7,42.0,0.405,17.0,0.364,8
2019-01-27,"NJIT Wellness and Events Center, Newark, New Jersey",NORTH-ALABAMA,NJIT,Home,45.8,11,10.3,3,101.3,80.0,24,0.427,62,0.387,24,0.387,24,0.708,17,15,222.0,93.3,19.4,7,22,70,12.0,9,0.323,20.0,0.25,5.0,47.0,31,0.477,11.0,9,42.0,0.452,19.0,0.348,8
2019-02-02,"Allen Arena, Nashville, Tennessee",NORTH-ALABAMA,LIPSCOMB,Home,25.8,8,6.5,2,132.5,65.2,15,0.532,63,0.492,31,0.302,19,0.684,13,16,200.0,103.9,30.0,9,24,80,11.7,9,0.27,17.0,0.294,5.0,45.3,24,0.555,16.4,14,46.0,0.565,26.0,0.333,8
2019-02-06,"Alico Arena, Fort Myers, Florida",NORTH-ALABAMA,FLORIDA-GULF-COAST,Home,30.0,6,3.4,1,102.9,89.3,25,0.444,54,0.37,20,0.426,23,0.696,16,17,200.0,92.8,25.0,9,15,64,7.2,5,0.537,29.0,0.276,8.0,53.1,34,0.493,19.0,15,25.0,0.48,12.0,0.32,8
2019-02-09,"Flowers Hall, Florence, Alabama",NORTH-FLORIDA,NORTH-ALABAMA,Away,40.0,10,3.2,1,113.9,79.2,19,0.446,65,0.385,25,0.385,25,0.6,15,18,200.0,101.4,37.5,15,18,73,5.6,4,0.308,20.0,0.4,8.0,53.1,34,0.475,15.6,14,45.0,0.378,17.0,0.308,8
2019-02-16,"Flowers Hall, Florence, Alabama",LIBERTY,NORTH-ALABAMA,Away,29.2,7,3.8,1,117.6,84.0,21,0.538,52,0.462,24,0.423,22,0.636,14,19,200.0,102.9,23.3,7,20,70,8.8,6,0.519,27.0,0.296,8.0,50.9,28,0.56,17.4,13,25.0,0.64,16.0,0.296,8
